house_count,kfs,url,price,cj_count,name,location,year,coordinate,build_type,wy,build_count
216户,成都市南极房地产开发有限公司,http://shenxianshu3hao.fang.com/,14712,0套,神仙树3号院,神仙树西路3号（二环路创业路口永丰立交桥旁）,2011年建成,,塔楼,威斯顿物业管理（香港）有限公司,2栋
8249户,中铁地产（成都）开发有限公司,http://guokelidecheng.fang.com/,14790,399套,果壳里的城,龙泉驿区北泉路1188号,2014年建成,,塔楼,艾明物业管理有限公司,16栋
6276户,成都万达商业广场有限公司,http://jinhuachengwd.fang.com/,17082,93套,万达锦华城,二环东五段29号,2008年建成,,塔楼,万达物业,5栋
404户,"
										,
									",http://zhaiyuanfudisl.fang.com/,17080,4套,三利宅院福邸,高新区中和大道一段98号,2010年建成,,"联排,独栋",四川三利房地产有限公司,12栋
1722户,四川润扬房地产开发有限公司,http://shuangheludaory.fang.com/,11897,136套,润扬双河鹭岛,新都区毗河东路99号（万科双水岸对面）,2011年建成,,板楼,成都孺牛物业管理有限公司,35栋
7682户,恒大地产集团成都有限公司,http://hengdacheng028.fang.com/,13184,479套,恒大城,凤溪大道南段555号,2008年建成,,板塔结合,广州金碧物业成都有限公司,76栋
1263户,成都上实置地有限公司,http://jinxiusenlin028.fang.com/,12791,0套,锦绣森邻,温泉大道一段1399号,2008年建成,,塔楼,成都华新锦绣花园物业管理公司,61栋
540户,成都瑞兴合能房地产开发有限公司,http://chengzhongxin.fang.com/,11819,0套,合能橙中心,犀浦天河路（地铁2号线天河路站D出口）,2016年建成,,板楼,合能物业,3栋
5208户,成都宏达置成房地产开发有限公司,http://shijijinchenghd.fang.com/,18276,136套,宏达世纪锦城,华阳海昌路68号,2012年建成,,板塔结合,四川宏达世纪物业服务有限公司,9栋
3484户,中国铁建地产集团公司,http://guojichengzgtj028.fang.com/,14169,221套,中国铁建国际城,龙泉驿区驿都西路3777号,2014年建成,,塔楼,中铁建（成都）物业管理有限公司,13栋
129户,成都万华新城发展股份有限公司,http://lanyuxianlhstc.fang.com/,27062,0套,麓湖生态城澜语溪岸,双流麓山大道二段6号,2015年建成,,板塔结合,成都麓山物业有限公司,3栋
1626户,成都俊发兴业房地产开发有限责任公司,http://xingyajunyuanjf.fang.com/,11887,4套,俊发星雅俊园,三环外成龙大道与银杏大道交汇处（三圣乡旁）,2015年建成,,塔楼,俊发物业,9栋
6809户,成都百城投资公司,http://baiyuecheng.fang.com/esf/,14546,13套,百悦城,成龙大道中段（希尔顿酒店旁）,2015-12-01,,板塔结合,赛特物业,32栋
473户,成都万科置业有限公司,http://wankemeilizhicheng028.fang.com/,20399,27套,万科魅力之城一期,万科北路2号,2011年建成,,塔楼,成都万科物业管理有限公司,15栋
3081户,成都赛博特置业投资发展有限公司,http://hexinkongquecheng.fang.com/esf/,11363,10套,和信孔雀天成,南江路666号（凤溪大道与南熏大道交汇处）,2015-12-01,,塔楼,和顺物业,14栋
1418户,"
										,
									",http://caidieyuan1aqi.fang.com/,15317,81套,彩叠园1A期,鹏程路1088号,2013年建成,,塔楼,家利物业,86栋
10660户,成都蜀都华润置地有限公司,http://xiangshuwanhr028.fang.com/,15301,565套,华润橡树湾,西区大道1398号,2013年建成,,板塔结合,成都华润置地物业管理有限公司,33栋
2400户,成都鸿悦置业有限公司,http://zhonglianghongyun028.fang.com/,28635,3套,中粮鸿云,二环路以东，双桂路以南，汇泉北路以西，通汇街以北,2017年建成,,塔楼,中粮地产集团深圳物业管理成都分公司,10栋
623户,成都阳明房地产有限责任公司,http://weilankadiya.fang.com/,21688,2套,蔚蓝卡地亚,天府大道南段2599号,2011年建成,,"联排,独栋,叠拼",高力国际物业管理有限公司,236栋
476户,成都和佳置业有限公司,http://nanogongguanrc.fang.com/,15230,0套,融创Nano公馆,融创Nano公馆位于益州大道南段东侧,2016年建成,,塔楼,重庆融创物业管理有限公司成都分公司,1栋
1334户,华润置地（成都）有限公司,http://feicuicheng.fang.com/3/,29257,52套,翡翠城三期,琉璃路718号,2008年建成,,板塔结合,成都华润置地物业管理有限公司,18栋
231户,联盟新城置业（成都）有限公司,http://yichengmms.fang.com/,11085,0套,牧马山易城,牧山路二段12号,2006年建成,,独栋,成都交大智能物业管理有限公司,231栋
435户,四川西部空间地理信息产业投资发展有限公司,http://qixingchengbd.fang.com/,7007,0套,北斗七星城,天龙大道1333号（中铁产业园对面）,2016年建成,,板塔结合,成都市利丰物业,1栋
2006户,中海信和（成都）物业发展有限公司,http://zhgjsqcj.fang.com/,18149,93套,中海国际社区橙郡一期,蓝岸街98号,2007年建成,,塔楼,中海物业,10栋
888户,四川雅居乐房地产开发有限公司,http://boyayuan028.fang.com/esf/,13708,0套,成都雅居乐富春山居,麓山大道二段19号,2014-11-01,,板塔结合,雅居乐雅生活服务股份有限公司成都分公司,19栋
1444户,四川川投国际网球中心开发有限责任公司,http://guojihuayuancw.fang.com/,13271,0套,川网国际花园,白衣上街与双楠大道交叉口（城南优品道旁边）,2015年建成,,板塔结合,四川佳友物业有限公司,21栋
611户,成都万华房地产开发有限公司,http://lapeiweierlsgj.fang.com/,22773,16套,麓山国际拉佩维尔,麓山大道二段6号,2006年建成,,板楼,成都麓山物业管理有限公司,68栋
3570户,北京城建成都地产有限公司,http://longyuewanbjcj.fang.com/esf/,13088,48套,北京城建龙樾湾,双楠大道银河路160号（双流运动公园旁）,2014-06-01,,板塔结合,北京城承物业,25栋
4012户,成都恒大银河新城置业有限公司,http://hengdalvzhou028.fang.com/,15876,0套,恒大绿洲,银河路118号,2008年建成,,板塔结合,广州金碧物业成都有限公司,59栋
1600户,四川金恒德国际贸易有限公司,http://sijijinyue.fang.com/,13786,0套,四季金悦,双楠大道333号（时代奥特莱斯旁商都路口）,2015年建成,,塔楼,金恒德物业,10栋
3028户,成都市康海房地产开发公司,http://sijichengsh.fang.com/,11426,40套,山水四季城,龙都北路666号（百工堰活水公园旁）,2015年建成,,板塔结合,成都亿新物业管理有限公司,30栋
2819户,恒大地产集团成都有限公司,http://hengdamingdu028.fang.com/,17242,282套,恒大名都,南天府广场麓山大道（麓山国际社区对面）,2010年建成,,板塔结合,金碧物业集团有限公司,17栋
340户,成都林森房地产开发有限公司,http://xiangbocheng.fang.com/,12334,0套,香博城,双温路与草金路交汇处,2013年建成,,板楼,林森物业,8栋
3857户,成都理工大资产经营有限责任公司,http://ligongdongyuan.fang.com/zhuzhai/,12471,7套,理工东苑,二仙桥东三路1号附3号,2014年建成,,塔楼,成都市东兴物业管理有限公司,40栋
7712户,成都富力地产开发有限公司,http://fulitaoyuan028.fang.com/esf/,10170,63套,富力桃园,兴城大道777号,2015-07-30,,板楼,广州天力物业发展有限公司成都分公司,41栋
2604户,成都蓝润智邦置业有限公司,http://huafuchuntianlr.fang.com/,13035,2套,蓝润华府春天,双华路与光电大道交汇处,2017年建成,,塔楼,成都远鸿物业管理有限公司,14栋
1135户,四川宏城房地产有限公司,http://huangjinhaian2028.fang.com/,13542,34套,黄金海岸,新希望大道300号,2003年建成,,板楼,小区物业,39栋
4641户,兴元地产,http://yuanyihuayuan.fang.com/,17848,185套,元益花园,光华大道一段866号,2014年建成,,板塔结合,鑫元物业,8栋
5742户,成都蜀府信义房地产开发有限公司,http://shilinfumx.fang.com/,11570,29套,明信仕林府,海科路99号（成都师范学院旁）,2016年建成,,塔楼,成都明信房地产开发有限公司,26栋
2371户,成都市佳乐房地产开发有限公司,http://guojichengjl.fang.com/esf/,11772,63套,佳乐国际城,三河镇蜀龙路南段777号,2017-01-01,,板楼,四川佳乐物业管理有限公司,19栋
2272户,成都建工地产开发有限责任公司,http://yinglun.fang.com/,15340,130套,英伦,天目路196号,2013年建成,,板楼,万嘉物业有限公司,12栋
947户,四川海洋置地发展有限公司,http://haiyangzhongxin.fang.com/,17746,45套,莱普敦公馆,天府三街吉泰路588号,2012年建成,,塔楼,仲量联行,2栋
1848户,四川思凯房地产开发有限公司,http://kasimoguangchang.fang.com/,16233,97套,卡斯摩广场,中华大道二段99号,2012年建成,,板楼,花样年物业管理公司,2栋
1080户,四川雅居乐房地产开发有限公司,http://yubinfuyjl028.fang.com/,15478,16套,成都雅居乐花园别墅,麓山大道二段19号,2011年建成,,双拼,中山雅居乐物业管理服务有限公司成都分公司,578栋
4133户,四川中德世纪置业有限公司,http://yinglunlianbangbquzd.fang.com/,22056,168套,中德英伦联邦B区,梓州大道5500号,2015年建成,,塔楼,中德行物业管理有限公司,11栋
5930户,中国中铁八局集团房地产开发有限公司,http://lijingshuxiangzt.fang.com/,11012,60套,中铁丽景书香,大学城柳台大道（中医药大学正对面）,2016年建成,,塔楼,中铁八局物业公司,22栋
3户,成都万辰房地产开发有限公司,http://wanchenliuzhuang028.fang.com/,6365,0套,万辰柳庄,花源镇花源大道288号(成都职业技术学院旁),2012年建成,,联排,四川省宏宸置地物业管理有限公司,1栋
1859户,成都金怡源房地产开发有限公司,http://shihaoruili.fang.com/,20415,87套,世豪瑞丽,天府三街1166号,2013年建成,,板塔结合,成都世豪新瑞物业服务有限公司,6栋
1562户,成都大华实业有限公司,http://sainahepan028.fang.com/,11824,10套,塞纳河畔,光华大道1969号,2006年建成,,板楼,香港戴德梁行,17栋
875户,成都太禾房地产开发有限责任公司,http://taiheshuijingcheng.fang.com/,11690,19套,太禾水晶城,机场路土桥段118号,2008年建成,,板楼,成都市鸿盛管理有限公司,15栋
1863户,成都棠湖屋业发展有限公司,http://bolinzhenth.fang.com/,13070,67套,棠湖泊林镇,涧槽中街38号,2011年建成,,板塔结合,成都泓济物业管理有限责任公司,32栋
4户,成都兆城房地产开发有限公司,http://qianshuiwanjf.fang.com/esf/,17496,1套,建发浅水湾,正兴镇正公路33号（城南麓山高端别墅板块）,2012-06-01,,独栋,成都怡家园物业,4栋
1576户,四川川投置信房地产开发有限责任公司,http://zhixinliduhuayuancheng.fang.com/2/,17955,97套,置信丽都花园城(外侧),A区聚萃街388号、B区聚萃街399号、C区聚萃街366号、D区聚萃街377号,2000年建成,,板楼,成都蜀信物业服务有限公司,22栋
3968户,四川硕润置业有限公司,http://jingshangjing028.fang.com/,11325,6套,景尚景,郫县景尚景街28号,2012年建成,,板塔结合,四川硕润物业,11栋
1410户,和泓地产,http://hehongdong28.fang.com/,17570,18套,和泓东28,二仙桥东路46号,2015年建成,,板塔结合,北京和泓物业管理有限公司成都分公司,5栋
2320户,合能地产,http://henengsijicheng.fang.com/zhuzhai/,13791,94套,合能四季城一期,犀浦镇福梓路255号,2012年建成,,板塔结合,合能物业,5栋
3237户,成都市恒大置业有限公司,http://xijinchenghz.fang.com/,20339,147套,恒大西锦城,迎宾大道165号（迎宾广场旁）,2012年建成,,塔楼,成都恒大金碧物业有限公司,9栋
5184户,成都豪运置业,http://gelinglan.fang.com/,14056,81套,格凌兰,凤溪大道333号（紧邻温江区政府新办公区）,2016年建成,,塔楼,戴德梁行顾问,14栋
1045户,成都新神风实业,http://furongmingcheng028.fang.com/2/,10236,9套,芙蓉名城二期,蜀龙大道中段801号,2000年建成,,塔楼,神风物业,10栋
474户,成都天府置信实业有限公司,http://5haoshequ.fang.com/,9765,5套,鹭湖宫5区,春江西路98号,2012年建成,,板塔结合,成都和达物业服务有限责任公司（置信和达）,5栋
1441户,成都中石化一腾燃油有限公司,http://dongshanlingdi.fang.com/,12123,1套,东山领地,成龙大道与成简快速通道交汇处（芦溪河六国公园旁）,2015年建成,,塔楼,成都胜凯物业管理有限公司,6栋
245户,成都天府置信实业有限公司,http://changantixiang2.fang.com/,12717,0套,长岸缇香,国色天乡国际度假区,2010年建成,,"联排,独栋",成都和达物业服务有限责任公司（置信和达）,44栋
1516户,汇融集团,http://shenghuoguangchanghr.fang.com/,11438,0套,汇融生活广场,大丰街道大西三路（汇融悉尼湾对面）,2017年建成,,塔楼,成都汇融物业服务有限公司,3栋
78户,成都市华凌房地产开发有限公司,http://dujiangsenlin.fang.com/,10028,0套,都江森林别墅,香雪海路83号,2009年建成,,"独栋,双拼",小区物业,69栋
6638户,四川中盛房地产开发有限责任公司,http://hanlinnancheng.fang.com/,13557,59套,翰林南城,长江路二段5号,2007年建成,,板楼,四川润无声物业管理有限公司,35栋
3503户,成都传化置业有限公司,http://guojixinchengch.fang.com/,10351,24套,传化国际新城,大件路（万科双水岸旁）,2014年建成,,板塔结合,成都金泉物业管理有限公司,17栋
66户,成都万华房地产开发有限公司,http://lsgghzsz.fang.com/,39597,0套,麓山国际黑钻山庄,麓山大道二段6号,2005年建成,,独栋,成都麓山物业管理有限公司,66栋
1522户,蛟龙投资发展有限公司,http://jinxiunanjun.fang.com/,10622,13套,锦绣楠郡,双流县乌江路47号,2010年建成,,板塔结合,蛟龙港世纪物业,6栋
1177户,祥宝投资（成都）有限公司,http://chengduicc.fang.com/,29990,69套,成都ICC,东大路二环路外沙河畔,2012年建成,,板楼,启胜物业管理公司,11栋
1074户,富豪实业,http://fuhaoxinan.fang.com/,14222,24套,富豪新岸,白衣上街二段118号（川头国际酒店附近）,2011年建成,,塔楼,成都双流百信物业管理有限责任公司,25栋
5388户,四川凯越置业有限公司,http://ganabinjiang.fang.com/,17901,229套,戛纳滨江,滨河路二段169号,2009年建成,,板楼,同森物业,12栋
3234户,四川中德世纪置业有限公司,http://yinglunlianbangaquzd.fang.com/,20117,332套,中德英伦联邦A区,会龙大道365号,2014年建成,,塔楼,衡信英伦物业,11栋
211户,都江堰市青城旅游开发有限责任公司,http://jiariqingcheng365zhaiyuan.fang.com/,10308,0套,假日青城365宅院,豪生路8号,2010年建成,,叠拼,中铁二局物业管理公司,31栋
3154户,四川西财置业有限公司,http://xuefuyangguangxc.fang.com/,10839,57套,西财学府阳光,大学城海科路东段（西南财经大学旁）,2015年建成,,塔楼,四川悦华物业管理有限公司,20栋
1132户,成都青年房产有限责任公司,http://wangjiangjiayuan.fang.com/,37084,33套,望江嘉苑,三官堂街16号,2002年建成,,板楼,成都利丰物业有限公司,20栋
1258户,成都郫县万达广场投资有限公司,http://shuduwandaguangchang.fang.com/esf/,7123,20套,蜀都万达广场,望从东路347号（成灌东路与望丛东路交汇处）,2016-11-01,,板塔结合,成都宏鹏物业管理有限公司,4栋
4516户,成都市武侯区桂溪房地产开发公司,http://shangjinyiyuan028.fang.com/,10710,400套,上锦颐园一期,尚锦路116号,2008年建成,,塔楼,成都市武侯区清江物业管理有限公司,38栋
708户,"科成集团公司 , 金诚物流公司",http://xinyuanzijunxf.fang.com/,13009,1套,雄飞新园紫郡,新园大道8号（三和广本后）,2015年建成,,板塔结合,成都蜀信物业服务有限公司,11栋
126户,四川西蜀盛信置业有限公司,http://tianyuanshiyi.fang.com/,3884,0套,田园诗驿,新民场环城路47号（镇政府旁）,2015年建成,,板楼,万居物业,5栋
192户,四川煤田瑞鑫房地产开发有限公司,http://guanghuazhixinscmt.fang.com/,7643,0套,四川煤田光华之心,温泉北街267号（水映岛旁）,2016年建成,,板塔结合,四川戴斯物业服务有限公司,1栋
2534户,成都市成华区危改办,http://shangdongyihao.fang.com/,15675,97套,上东一号一期,东昌路55号,2014年建成,,塔楼,创天乐物业管理有限公司,16栋
2577户,成都金阳华英达置业有限公司,http://yichengguojijy.fang.com/,19247,194套,金阳易诚国际,培华路399号,2012年建成,,板塔结合,北京国基伟业物业管理有限公司,5栋
2322户,四川润扬房地产开发有限公司,http://runyangbeicheng1hao.fang.com/,12596,26套,润扬北城1号,新都大道（新都妇幼保健院对面）,2010年建成,,板楼,成都孺牛物业服务有限公司,9栋
220户,成都美好房屋开发有限公司,http://meihaojiayuan2.fang.com/esf/,13978,18套,美好家园,机场路181号（四川检察官院四川分院斜对面）,2013-12-01,,板楼,成都美好家园物业服务有限责任公司,8栋
1727户,成都东方希望天祥置地有限公司,http://tianxiangguangchangdfxw.fang.com/,19956,13套,东方希望天祥广场,天府大道中段500号（世纪城站旁）,2015年建成,,板楼,成都东方希望物业服务有限公司,3栋
1000户,成都市鹏程房屋开发有限公司,http://feicuihaiwan.fang.com/,15278,77套,翡翠海湾,蜀跃东路138号,2006年建成,,板楼,戴德梁行,7栋
616户,蓝润联博置业有限公司,http://vkedongdoulr.fang.com/,11830,0套,蓝润V客东都,三圣乡地铁2号线洪河站点,2017年建成,,塔楼,四川远鸿物业管理有限公司,2栋
85户,成都远大蜀阳房地产开发有限责任公司,http://linyuchengyd.fang.com/esf/,14300,0套,远大林语城别墅,武侯大道延线（双楠大道南侧）,2014-01-01,,联排,成都远大创新物业,38栋
1874户,成都市劲城房地产开发有限公司,http://zanchenggjz.fang.com/,13397,0套,高家庄赞城,蜀西路29号,2016年建成,,塔楼,成都华玮物业管理服务有限公司,5栋
2315户,成都环美置业有限公司,http://meichengyunting.fang.com/,17608,32套,美城云庭,剑南大道南段338号,2014年建成,,板塔结合,成都仁和春天物业管理有限公司,6栋
1048户,成都双流富豪实业有限责任公司,http://qishijunjincheng.fang.com/,14605,24套,骑士郡,机场路近都段12号（四川省司法警官总医院对面）,2015年建成,,塔楼,成都双流百信物业管理有限责任公司,7栋
1568户,成都圣沅房地产开发有限公司,http://yizhouguoji.fang.com/,16760,8套,益州国际广场,天府大道南段西500米（益州大道与华府大道交汇处）,2014年建成,,板塔结合,成都圣沅佳理物业管理有限公司,2栋
879户,成都金怡源房地产开发有限公司,http://tianfuhaoting.fang.com/,20986,136套,天府豪庭,武侯区荣华南路398号,2011年建成,,塔楼,成都世豪新瑞物业服务有限公司,2栋
1117户,成都中能置业有限公司,http://yiyunzhen.fang.com/,13343,60套,依云镇,光华大道三段1333号,2007年建成,,塔楼,忠信英联华物业管理顾问有限公司,21栋
3643户,成都保龙房地产开发有限公司,http://meiguihuayubl.fang.com/,15396,19套,保利玫瑰花语,龙城大道（四川师范大学成龙校区旁）,2015年建成,,板楼,保利物业,12栋
3244户,保利（成都）实业有限公司,http://lafeigongguanbl028.fang.com/,12308,10套,保利198拉斐公馆,蜀龙路1980号（三环蜀龙路熊猫基地旁）,2015年建成,,塔楼,保利物业有限公司成都分公司,14栋
1400户,中铁房地产集团四川有限公司,http://beihuguojichengzgtj.fang.com/esf/,12634,1套,中国铁建北湖国际城,东三环路一段外侧（石室中学对面）,2016-05-01,,塔楼,中铁建（北京）物业管理有限公司成都分公司,6栋
1537户,四川晋元实业有限公司,http://honggeyihao.fang.com/,17666,103套,鸿阁一号,龙灯山路281号,2009年建成,,板楼,四川嘉晋物业管理有限公司,5栋
912户,成都百信投资实业有限公司,http://092106.fang.com/,4909,0套,锦绣尚城,金彭中路355号（金彭花园对面）,2012年建成,,塔楼,成都博鑫物业管理有限公司,2栋
3112户,成都市华兴住宅房地产开发有限公司,http://jinxiuhuadu028.fang.com/,9830,106套,锦绣华都,三强路北二段88号,2005年建成,,板楼,四川悦华置地物业管理有限公司,83栋
378户,成都市金鸿实业有限公司,http://deyixinyuan.fang.com/,14822,33套,德意馨苑,蜀汉路532号,2003年建成,,板楼,舜苑资产经营管理有限公司,10栋
1404户,保利（成都）实业有限公司,http://jinxiangbinbl028.fang.com/,23458,153套,保利金香槟,蜀鑫路105号,2011年建成,,板塔结合,保利物业,8栋
4394户,北京绵世集团,http://xidiwanms.fang.com/,13900,2套,绵世溪地湾,校园路99号（西南交大旁）,2014年建成,,板塔结合,成都迈尔斯通物业管理公司,11栋
152户,成都环美置业有限公司,http://yuerongfumc.fang.com/,16123,0套,美城悦荣府别墅,天府新城剑南大道333号,2016年建成,,联排,成都嘉诚新悦物业管理有限公司,10栋
472户,成都万科华东置业有限公司,http://haiyuehuichengxiquwk.fang.com/,21109,0套,万科海悦汇城西区,海昌路169号,2014年建成,,塔楼,成都万科物业管理有限公司,2栋
503户,成都润宏府置业有限公司,http://jinhuaguojichengzt.fang.com/,9135,6套,中铁金花国际城,金花镇金凤街179号（武兴路与金凤街交汇处）,2015年建成,,板楼,戴德梁行房地产咨询（成都）有限公司,8栋
1120户,成都花雨实业有限公司,http://sanduhuichaowai.fang.com/,9718,0套,三都汇朝外,华府大道二段265号,2016年建成,,塔楼,深圳金众物业有限公司,3栋
14户,和记黄埔地产（成都）有限公司,http://caidieyuan.fang.com/villa/,13397,1套,彩叠园别墅,光华大道三段涌泉鹏程路1088号,2010年建成,,"独栋,联排,叠拼",家利物业,2栋
100户,成都万华房地产开发有限公司,http://lushanguojishuijinggang.fang.com/,36893,0套,麓山国际水晶岗,麓山大道二段6号,2006年建成,,联排,成都麓山物业管理有限公司,100栋
564户,成都万华房地产开发有限公司,http://banyuewanlsgj.fang.com/,17534,43套,麓山国际半月湾,麓山大道二段6号,2013年建成,,塔楼,成都麓山物业管理有限公司,4栋
539户,成都中铁置业有限公司,http://xijunyinghuazt.fang.com/zhuzhai/,12597,52套,西郡英华一期,港通北一路567号,2012年建成,,板楼,成都中铁瑞城物业管理有限公司郫县分公司,48栋
136户,成都万华房地产开发有限公司,http://lushanguojiyicuigu.fang.com/,31945,1套,麓山国际逸翠谷,麓山大道二段6号,2005年建成,,联排,成都麓山物业管理有限公司,136栋
1404户,成都嘉汇置业有限公司,http://jiliuyuanjd.fang.com/,10835,19套,交大季柳园,犀浦校园路822号,2013年建成,,塔楼,四川华玮物业管理有限公司,6栋
990户,成都融辉置业有限公司,http://jinhuifengshang028.fang.com/,17383,35套,金辉枫尚,外双楠武侯大道果堰路1号（中华名园旁）,2014年建成,,板塔结合,金辉物业,5栋
312户,成都金河谷置业有限公司,http://ruilizhuangyuan.fang.com/,17288,0套,金河谷三期,温江区涌泉七星街191号,2012年建成,,独栋,成都世豪新瑞物业服务有限公司,48栋
3021户,郫县三利房地产有限责任公司,http://kabulichengjd.fang.com/,12609,224套,交大卡布里城,犀浦龙吟村2、3、4社,2009年建成,,板塔结合,成都德冠物业管有限公司,11栋
3140户,双流金座置业有限公司,http://weinigujz.fang.com/esf/,14141,2套,金座威尼谷,正通路(社保局对面),2015-12-01,,板楼,成都佶惠佳物业服务有限公司,19栋
2991户,成都金科房地产开发有限公司,http://jinkezhongxin.fang.com/,10209,3套,金科中心,成华区川陕立交旁荆翠西路,2015年建成,,板塔结合,重庆金科物业管理有限公司成都分公司,9栋
1111户,成都天府华侨城实业发展有限公司,http://donganhqc.fang.com/esf/,24199,24套,华侨城天屿,交大立交桥外侧西华大道（原沙西线）9号（华侨城欢乐谷旁）,2011-12-30,,独栋,深圳市华侨城物业管理有限公司成都分公司,118栋
2116户,华润置地（成都）青羊有限公司,http://jinyuewanhr.fang.com/esf/,25210,8套,华润金悦湾,清波路77号（IT大道跨线桥北·西三环外）,2013-10-31,,板楼,华润置地（成都）物业服务有限公司,23栋
2086户,西藏格林实业有限公司,http://maitianguojishequ.fang.com/esf/,9165,9套,格林城市花园,毕达路256号,2016-06-01,,板楼,成都嘉诚新悦物业管理有限公司,6栋
2358户,四川万佳实业开发有限责任公司,http://ganlanjun.fang.com/,11671,46套,橄榄郡,静安路19号,2008年建成,,塔楼,小区物业,33栋
2552户,成都铭发置业有限公司,http://huishashaocheng.fang.com/,26936,35套,汇厦少城,文庙西街,2014年建成,,塔楼,安怡物业,6栋
1764户,四川省蜀府房屋建设开发有限公司,http://guanghuajinyuan.fang.com/,21662,86套,光华锦苑,光华北六路216号,2013年建成,,塔楼,四川昌达物业管理有限责任公司,6栋
520户,成都市金港房屋开发公司,http://jingangwanhuayuan.fang.com/2/,16296,15套,金港湾花园二期,茶店子蜀光路16号,2004年建成,,板楼,金港物业,10栋
438户,成都英祥房地产开发有限公司,http://beichengyingxiang.fang.com/esf/,8908,0套,北城映像,同华大道北侧金河路（九峰路交汇处）,2016-12-01,,板楼,自贡英祥物业管理公司,2栋
29户,成都潮蓉实业有限公司,http://bishuiqingcheng.fang.com/,7647,0套,碧水青城,白鹤路2号（青城在望对面）,2008年建成,,联排,舜苑资产经营管理有限公司,5栋
1745户,成都市金马泰基房地产有限责任公司,http://yueshuilanshan.fang.com/,10369,0套,悦水蓝山,温江区蓉台大道,2011年建成,,"联排,双拼",四川凯莱物业有限公司,73栋
826户,"
										,
									",http://yinxiangjinsha.fang.com/,19060,92套,印象金沙,金阳路390号,2006年建成,,板楼,雄宇实业,6栋
554户,成都市益民房地产开有限责任公司,http://yijingyangguang028.fang.com/,6753,0套,怡景阳光,石家碾东路280号,2008年建成,,板楼,成都市鑫益物业管理有限公司,3栋
928户,"
										,
									",http://jiaodazhineng.fang.com/2/,16663,59套,交大智能二期,交桂路89号,2001年建成,,板楼,西南交通大学房地产开发公司,21栋
2户,绿地集团申龙房地产开发有限公司,http://yueronggongguanld.fang.com/,12202,0套,绿地悦蓉公馆,桂林西路88号（桂林小学对面）,2018年建成,,板楼,成都嘉诚新悦物业管理有限公司,2栋
532户,成都国色天乡旅游投资有限公司,http://luhugong6qu.fang.com/,13046,0套,鹭湖宫6区别墅,天乡路二段299号,2016年建成,,"普通住宅,独栋,联排",成都和达物业服务有限责任公司（置信和达）,33栋
358户,成都正元建设开发公司,http://huahaoyueyuan028.fang.com/,15600,29套,花好月圆,蜀汉路89号,2003年建成,,塔楼,成都嘉宝东方物业管理有限公司,1栋
606户,中国中铁八局集团房地产开发有限公司,http://aoweierzt.fang.com/villa/,11225,0套,中铁奥维尔别墅,梨园路一段528号,2012年建成,,"联排,双拼,叠拼",四川力宝企业管理有限公司,72栋
432户,成都明信房地产开发有限公司,http://hexiejiayuan028.fang.com/,15582,50套,和谐家园,蜀西路4号（近光明街）,2006年建成,,塔楼,成都市青春物业管理有限公司,2栋
763户,成都市加贝置业有限责任公司,http://shuxiangshangpinjb.fang.com/,13122,45套,加贝书香尚品,临港四段28号,2007年建成,,板楼,成都回归物业管理有限公司,4栋
647户,成都金房集团有限公司,http://zhuyuntianfujf.fang.com/,14410,73套,金房竹韵天府,三环路西二段56号,2004年建成,,板楼,成都金房物业有限公司,12栋
908户,成都华新国际实业有限公司,http://jinxiushangjunhx.fang.com/esf/,10210,0套,华新锦绣尚郡,牧马山大件路1089号,2011-11-01,,"联排,双拼",华新瑞泰物业管理公司,150栋
1721户,成都天佳置业有限公司,http://guangchangjzy028.fang.com/esf/,12874,0套,佳兆业广场,马厂社区一、二组(光华大道一段西非遗博览园旁),2015-08-01,,塔楼,成都佳兆业物业管理有限公司,8栋
